crop_name,temparature,humidity,moisture,soil_type,nitrogen,potassium,phosphorous
Cotton,26.9,57.31,68.61,Black,14,12,17
Wheat,33.47,59.46,64.44,Sandy,6,0,16
Paddy,40.0,62.39,45.31,Clayey,8,0,41
Pulses,31.98,60.7,35.91,Loamy,12,12,17
Sugarcane,32.84,62.04,32.05,Sandy,15,0,13
Millets,27.96,54.06,47.23,Black,11,0,17
Barley,32.11,71.86,56.34,Clayey,8,0,11
Ground Nuts,37.68,71.36,32.07,Clayey,11,4,40
Tobacco,33.29,72.81,38.08,Red,5,19,25
Barley,24.24,45.3,68.56,Clayey,13,0,10
Wheat,29.39,58.92,32.77,Sandy,6,20,14
Oil seeds,34.12,78.05,45.51,Sandy,40,0,4
Barley,31.46,60.92,35.26,Black,10,2,39
Paddy,25.84,46.79,35.77,Clayey,43,0,0
Maize,30.65,57.55,43.54,Black,22,0,23
Sugarcane,36.25,60.68,42.98,Black,6,8,28
Cotton,28.64,69.09,42.89,Loamy,28,2,17
Pulses,30.28,59.17,40.52,Red,10,0,8
Paddy,36.5,52.36,24.4,Red,14,4,32
Wheat,21.57,50.51,47.72,Black,18,0,14
Wheat,33.9,74.86,57.18,Sandy,19,0,42
Sugarcane,37.18,70.69,58.98,Red,36,1,0
Barley,33.28,76.03,40.66,Clayey,9,17,19
Tobacco,29.85,58.07,42.1,Sandy,10,17,15
Oil seeds,21.99,53.33,61.68,Red,5,3,14
Pulses,23.41,43.66,20.16,Clayey,38,0,0
Paddy,30.29,46.16,40.66,Clayey,32,0,0
Oil seeds,31.65,57.0,56.28,Red,4,12,24
Cotton,32.15,58.22,58.63,Clayey,28,0,19
Tobacco,30.74,62.79,50.57,Sandy,9,2,10
Pulses,22.28,49.97,42.28,Clayey,44,0,0
Sugarcane,29.84,42.95,34.38,Clayey,10,13,19
Tobacco,36.14,74.84,61.48,Sandy,18,1,37
Barley,39.75,66.91,26.89,Black,12,4,27
Barley,30.44,68.6,66.26,Clayey,26,0,16
Millets,30.86,51.58,34.05,Red,11,1,43
Cotton,30.22,65.07,28.06,Red,22,1,18
Oil seeds,30.08,52.22,52.78,Red,12,4,33
Tobacco,37.77,72.96,37.53,Black,16,0,35
Wheat,20.55,57.33,36.43,Red,25,0,16
Cotton,30.4,60.18,28.18,Loamy,36,0,0
Wheat,28.3,62.72,42.06,Clayey,40,0,0
Sugarcane,33.03,50.75,42.07,Loamy,12,0,33
Barley,24.26,66.8,29.59,Loamy,12,0,40
Maize,36.13,61.57,35.14,Loamy,40,1,4
Paddy,36.76,72.35,33.65,Black,12,3,9
Barley,30.12,52.36,33.8,Sandy,28,0,19
Pulses,22.16,43.31,42.41,Red,18,0,9
Millets,32.65,68.89,29.69,Clayey,8,0,6
Sugarcane,26.89,51.17,70.0,Clayey,37,3,4
Cotton,33.44,59.53,70.0,Clayey,12,0,41
Ground Nuts,29.67,47.88,23.8,Red,25,4,18
Millets,25.12,50.56,52.48,Sandy,13,1,11
Tobacco,36.37,67.68,30.08,Loamy,39,0,2
Ground Nuts,29.06,68.31,52.37,Red,16,0,10
Barley,25.78,64.69,32.38,Loamy,13,4,38
Ground Nuts,30.4,55.27,41.63,Clayey,17,2,29
Wheat,36.0,59.46,52.35,Clayey,9,13,10
Pulses,25.43,48.84,35.9,Black,35,0,0
Sugarcane,34.49,54.23,21.17,Black,16,1,38
Wheat,30.5,59.68,35.22,Black,11,4,18
Tobacco,24.25,67.07,21.47,Loamy,12,15,20
Pulses,35.42,65.57,43.67,Clayey,44,4,0
Pulses,30.41,64.96,48.09,Black,10,2,33
Ground Nuts,27.52,42.91,21.12,Red,15,15,13
Barley,24.68,49.97,70.0,Loamy,11,4,12
Cotton,29.32,64.15,57.63,Black,7,10,10
Millets,31.83,55.75,46.33,Sandy,17,10,12
Cotton,40.0,61.76,49.42,Loamy,4,11,29
Wheat,27.8,65.85,31.27,Clayey,9,3,26
Maize,31.7,55.64,40.28,Sandy,13,2,13
Maize,29.0,65.07,70.0,Red,10,2,32
Barley,29.04,70.01,36.9,Black,12,0,13
Pulses,27.98,42.2,60.29,Clayey,7,17,14
Maize,35.17,73.71,70.0,Loamy,12,0,35
Cotton,26.03,44.6,30.68,Red,12,7,31
Tobacco,27.89,59.42,32.46,Sandy,23,1,19
Oil seeds,38.67,65.53,64.36,Black,34,0,0
Ground Nuts,24.54,46.43,32.67,Black,17,0,17
Ground Nuts,32.82,66.47,59.62,Red,10,3,37
Sugarcane,24.05,56.01,29.3,Red,14,18,12
Cotton,32.67,66.98,67.27,Loamy,6,0,39
Ground Nuts,31.25,49.31,59.62,Sandy,8,2,11
Cotton,21.28,54.65,57.82,Clayey,8,0,4
Tobacco,33.5,71.43,63.29,Clayey,6,9,10
Paddy,30.14,74.53,67.61,Black,7,5,25
Wheat,28.38,62.44,55.9,Black,13,0,39
Barley,40.0,53.38,44.17,Black,18,4,36
Ground Nuts,30.51,56.56,31.01,Sandy,16,0,14
Millets,29.85,60.19,51.81,Black,17,0,23
Wheat,27.57,58.96,56.6,Red,13,3,39
Pulses,31.19,60.99,46.6,Red,21,0,26
Ground Nuts,26.57,53.43,43.69,Clayey,19,4,21
Tobacco,21.45,47.54,35.03,Red,21,0,20
Wheat,25.87,64.11,67.58,Loamy,4,10,27
Maize,23.29,59.14,42.14,Red,37,0,3
Millets,24.68,58.73,43.06,Sandy,38,4,1
Pulses,33.95,62.48,20.64,Black,5,12,19
Cotton,26.33,59.59,55.24,Black,7,4,10
Ground Nuts,40.0,68.68,34.13,Sandy,8,10,25
Barley,27.62,67.62,64.74,Red,6,3,37
Pulses,27.96,53.07,59.54,Clayey,9,4,33
Ground Nuts,26.49,61.97,42.04,Clayey,12,16,13
Barley,29.25,62.0,55.15,Clayey,12,0,36
Pulses,23.74,55.81,61.5,Loamy,6,9,15
Maize,25.85,48.14,39.33,Loamy,32,0,0
Pulses,30.07,59.72,61.15,Clayey,12,15,11
Wheat,30.02,55.06,30.59,Red,10,0,40
Pulses,21.68,57.86,23.08,Red,16,0,12
Cotton,20.42,53.57,38.87,Loamy,5,18,17
Barley,32.8,65.87,49.94,Clayey,33,0,0
Sugarcane,33.34,61.94,32.31,Black,8,0,32
Oil seeds,31.25,68.53,66.94,Red,6,16,14
Pulses,37.61,64.57,34.12,Clayey,38,0,0
Pulses,34.15,68.11,46.5,Clayey,8,12,30
Cotton,27.67,59.9,26.38,Black,41,0,2
Millets,22.34,45.29,39.49,Loamy,38,0,0
Millets,21.07,60.95,61.29,Clayey,6,0,6
Cotton,27.82,57.43,30.84,Loamy,2,15,24
Cotton,23.11,49.15,32.6,Black,9,3,37
Sugarcane,24.0,49.02,37.37,Clayey,11,0,13
Sugarcane,29.13,43.28,36.14,Black,39,0,4
Cotton,23.46,50.44,24.32,Black,37,0,4
Ground Nuts,28.08,52.69,32.35,Clayey,12,3,34
Millets,21.29,54.85,26.51,Sandy,11,0,39
Millets,28.54,49.45,46.17,Red,31,0,0
Oil seeds,31.21,60.48,37.27,Clayey,36,0,1
Barley,22.97,44.59,43.69,Clayey,19,3,28
Maize,27.52,52.42,36.15,Red,9,0,38
Oil seeds,26.76,43.31,43.64,Red,2,15,20
Wheat,30.57,64.68,51.73,Clayey,7,12,8
Cotton,37.11,77.37,42.03,Clayey,4,4,27
Wheat,34.97,72.4,57.83,Loamy,21,0,23
Ground Nuts,32.85,69.09,29.04,Black,16,0,12
Ground Nuts,24.33,66.27,70.0,Black,8,2,34
Pulses,23.84,60.67,36.47,Sandy,38,1,1
Wheat,35.36,64.36,36.49,Loamy,41,3,4
Wheat,27.09,62.94,50.51,Red,11,0,38
Ground Nuts,25.2,48.23,41.84,Black,38,1,0
Ground Nuts,23.98,52.41,24.26,Loamy,41,4,2
Millets,32.12,57.29,40.78,Sandy,42,1,3
Cotton,28.29,57.33,52.55,Clayey,26,0,22
Sugarcane,27.8,44.81,22.17,Red,14,1,45
Sugarcane,35.41,69.11,70.0,Clayey,4,9,25
Oil seeds,34.46,74.6,45.35,Red,10,10,12
Tobacco,26.25,69.57,37.25,Red,10,0,4
Oil seeds,40.0,76.34,22.1,Black,11,0,36
Pulses,29.5,50.06,63.05,Clayey,10,0,9
Paddy,27.13,43.23,35.28,Red,26,3,22
Paddy,28.99,66.71,43.03,Clayey,22,4,21
Cotton,25.14,46.88,28.19,Loamy,16,3,36
Sugarcane,27.79,62.14,30.06,Red,7,10,25
Ground Nuts,33.41,67.81,41.34,Loamy,10,2,41
Oil seeds,25.2,44.1,46.96,Red,12,6,29
Tobacco,34.19,56.72,63.64,Clayey,18,4,33
Pulses,37.3,68.57,44.84,Black,5,4,34
Pulses,31.78,59.11,44.18,Black,22,4,27
Barley,32.11,71.08,29.01,Sandy,35,0,0
Barley,36.82,57.69,30.19,Red,39,0,3
Wheat,25.12,64.48,52.92,Sandy,16,0,8
Tobacco,31.33,72.92,35.31,Red,14,0,35
Tobacco,29.93,55.77,48.12,Clayey,42,0,0
Paddy,32.68,58.16,41.4,Loamy,38,2,0
Cotton,28.17,50.1,57.67,Sandy,14,0,6
Paddy,35.81,76.09,24.48,Red,10,0,37
Pulses,38.04,62.28,44.38,Clayey,12,3,24
Cotton,31.55,53.02,39.4,Clayey,8,0,16
Barley,29.14,59.77,42.79,Clayey,38,0,0
Tobacco,34.31,63.01,44.96,Black,37,0,3
Tobacco,27.54,58.58,30.71,Black,43,1,2
Tobacco,27.92,52.23,46.52,Sandy,38,0,0
Wheat,24.6,51.17,29.76,Clayey,32,3,0
Barley,28.87,57.65,56.9,Black,11,16,14
Cotton,28.85,58.79,66.37,Sandy,10,12,30
Maize,33.72,61.76,45.98,Clayey,13,0,38
Maize,30.63,60.56,22.33,Black,40,0,4
Maize,27.05,50.1,30.22,Sandy,38,0,2
Millets,22.79,59.47,28.56,Sandy,37,0,0
Paddy,38.77,55.67,55.59,Clayey,14,18,11
Sugarcane,28.8,49.98,58.83,Black,14,10,17
Ground Nuts,27.76,65.79,45.56,Loamy,12,15,15
Millets,22.48,53.68,29.96,Clayey,18,17,10
Ground Nuts,32.73,55.44,47.85,Clayey,45,1,3
Ground Nuts,24.2,41.69,33.6,Red,19,13,13
Cotton,30.17,59.06,40.76,Loamy,12,2,41
Barley,40.0,67.75,57.85,Loamy,10,11,24
Cotton,38.33,58.9,40.27,Clayey,41,1,0
Wheat,26.86,46.9,28.95,Clayey,11,14,32
Tobacco,25.56,61.54,26.89,Sandy,36,3,0
Tobacco,26.54,45.74,70.0,Red,33,0,0
Oil seeds,29.36,52.93,54.82,Red,7,0,18
Ground Nuts,24.44,46.56,30.45,Red,6,16,17
Ground Nuts,27.95,69.26,31.79,Red,0,15,18
Tobacco,37.22,64.38,63.58,Red,6,0,11
Ground Nuts,30.57,47.43,58.26,Sandy,11,0,8
Sugarcane,24.1,63.6,25.87,Clayey,9,3,9
Sugarcane,37.79,62.57,61.86,Clayey,13,1,41
Tobacco,30.33,55.01,27.78,Loamy,26,0,19
Millets,28.18,65.54,54.63,Clayey,12,19,12
Tobacco,24.23,58.48,50.97,Red,30,0,0
Oil seeds,31.35,68.81,41.39,Black,13,0,36
Sugarcane,35.83,76.88,66.33,Red,13,0,40
Maize,33.04,56.04,63.33,Black,10,3,13
Sugarcane,36.49,74.83,63.59,Red,37,3,0
Maize,30.11,48.12,54.43,Red,6,2,15
Pulses,20.3,44.44,41.86,Loamy,20,4,18
Ground Nuts,32.82,65.38,24.04,Red,39,4,0
Sugarcane,32.87,59.11,59.71,Clayey,10,0,14
Millets,30.81,51.96,35.61,Loamy,15,9,17
Tobacco,38.65,71.63,59.06,Sandy,6,6,30
Maize,32.86,68.29,37.77,Black,18,2,32
Sugarcane,22.72,50.47,51.87,Black,9,17,11
Tobacco,27.14,58.79,66.42,Sandy,5,7,33
Ground Nuts,32.33,74.41,49.11,Loamy,43,0,3
Wheat,31.57,59.49,44.41,Loamy,33,0,0
Cotton,33.92,70.37,55.46,Sandy,24,0,17
Barley,23.64,54.21,33.68,Clayey,30,1,0
Tobacco,26.46,60.34,48.97,Red,8,10,26
Wheat,35.48,68.25,34.7,Clayey,14,2,13
Tobacco,40.0,80.0,56.82,Red,43,0,0
Paddy,29.3,44.76,52.52,Red,7,0,11
Sugarcane,31.85,56.67,68.54,Sandy,10,11,15
Ground Nuts,37.34,56.16,66.28,Loamy,9,4,17
Wheat,39.21,74.83,33.14,Sandy,11,10,28
Paddy,35.11,67.52,40.53,Black,9,1,36
Wheat,30.26,42.39,34.0,Black,20,1,22
Wheat,27.72,47.55,65.62,Sandy,40,0,0
Pulses,37.43,61.49,29.07,Red,10,2,11
Sugarcane,39.16,75.73,34.03,Black,12,3,31
Pulses,29.62,57.58,56.91,Clayey,12,17,13
Paddy,32.11,68.19,40.77,Clayey,8,0,8
Millets,33.45,64.37,58.6,Loamy,11,11,14
Paddy,32.97,58.85,60.26,Black,36,0,0
Millets,34.98,59.82,34.18,Loamy,8,1,42
Cotton,23.6,46.17,50.36,Red,8,10,10
Millets,28.85,45.61,27.28,Clayey,39,2,2
Tobacco,24.76,45.87,45.72,Clayey,37,3,0
Pulses,38.26,65.76,29.84,Black,23,0,22
Pulses,36.67,66.99,57.65,Clayey,35,0,0
Wheat,32.15,59.62,52.44,Red,10,1,39
Tobacco,40.0,71.5,35.55,Loamy,9,9,28
Sugarcane,31.55,52.46,20.0,Sandy,9,4,42
Ground Nuts,25.85,47.66,44.43,Clayey,25,3,20
Sugarcane,29.09,53.7,30.89,Red,45,0,0
Paddy,35.09,73.25,64.96,Red,22,1,15
Pulses,36.28,57.76,50.83,Clayey,26,0,23
Tobacco,31.96,62.45,49.67,Sandy,15,2,10
Barley,36.03,68.01,34.95,Red,22,0,22
Oil seeds,31.63,56.04,35.55,Red,14,0,34
Millets,37.72,53.18,50.18,Red,10,0,36
Paddy,34.19,58.06,70.0,Loamy,12,13,11
Ground Nuts,24.85,44.22,44.43,Black,19,0,22
Maize,26.79,51.89,45.51,Sandy,28,4,21
Tobacco,28.9,48.82,25.28,Red,7,8,31
Oil seeds,32.48,55.58,37.82,Loamy,13,1,33
Sugarcane,29.28,54.11,33.43,Loamy,12,4,35
Maize,23.96,52.37,25.81,Sandy,5,10,33
Wheat,36.64,64.68,42.16,Black,33,0,4
Millets,26.37,60.29,50.88,Black,34,0,1
Barley,33.21,79.62,35.61,Loamy,13,1,34
Ground Nuts,34.78,55.26,29.66,Black,9,0,38
Ground Nuts,31.53,61.06,40.48,Black,41,1,0
Ground Nuts,26.71,49.27,30.54,Sandy,11,2,45
Oil seeds,30.89,66.92,30.15,Black,15,0,41
Ground Nuts,25.99,57.23,60.76,Sandy,7,10,32
Oil seeds,35.33,63.38,24.82,Sandy,10,0,39
Sugarcane,32.14,67.16,57.06,Clayey,17,0,36
Tobacco,26.59,52.74,51.85,Clayey,11,0,32
Paddy,29.09,65.94,42.43,Loamy,9,0,6
Tobacco,33.4,72.33,23.7,Red,9,7,28
Sugarcane,24.53,59.27,42.34,Clayey,27,0,28
Sugarcane,37.56,61.34,62.16,Black,7,0,9
Maize,24.83,54.28,62.54,Clayey,12,1,30
Ground Nuts,29.19,47.17,37.7,Black,15,0,17
Wheat,35.36,66.71,31.57,Sandy,20,0,28
Barley,32.94,58.58,52.48,Red,13,4,34
Sugarcane,39.46,69.85,20.0,Red,9,7,33
Wheat,29.13,62.34,26.54,Red,2,12,15
Paddy,39.89,68.39,50.49,Black,5,0,34
Wheat,23.49,45.84,58.18,Clayey,38,0,0
Paddy,30.68,63.25,46.38,Black,14,0,11
Cotton,24.41,56.8,34.97,Sandy,23,1,15
Oil seeds,33.88,80.0,54.46,Black,35,0,0
Maize,27.17,69.52,47.69,Sandy,16,18,10
Maize,35.51,72.18,36.2,Loamy,12,0,31
Ground Nuts,32.08,55.08,52.81,Red,6,12,32
Barley,35.09,72.5,46.73,Sandy,38,0,0
Tobacco,29.74,48.18,62.44,Black,39,0,0
Sugarcane,28.54,63.37,52.98,Clayey,3,12,27
Tobacco,33.65,60.55,62.52,Black,9,0,14
Millets,31.89,59.31,30.26,Red,16,0,11
Maize,27.42,62.06,43.64,Clayey,20,3,20
Cotton,34.32,59.44,33.94,Loamy,25,0,23
Cotton,26.61,43.26,46.1,Clayey,21,1,23
Millets,32.76,48.27,44.77,Clayey,41,0,1
Cotton,29.58,56.08,67.27,Red,9,0,34
Pulses,35.14,58.65,43.04,Sandy,11,19,13
Pulses,29.99,52.36,48.22,Black,16,0,39
Millets,24.71,53.0,33.7,Sandy,12,3,26
Sugarcane,37.83,62.2,38.9,Red,16,1,36
Wheat,29.62,67.51,41.82,Clayey,39,2,2
Cotton,24.59,58.67,52.83,Sandy,16,2,39
Cotton,38.92,59.35,41.61,Clayey,11,2,10
Wheat,24.95,54.7,25.03,Sandy,44,0,0
Ground Nuts,34.84,66.6,26.52,Red,12,0,35
Cotton,24.75,49.42,45.06,Clayey,8,13,11
Wheat,34.76,66.83,47.24,Clayey,9,9,15
Maize,34.36,59.48,61.29,Sandy,3,5,30
Wheat,33.1,52.18,63.48,Red,6,5,33
Pulses,22.53,60.17,52.65,Loamy,26,0,17
Millets,33.29,57.7,37.44,Black,34,0,0
Oil seeds,26.95,62.85,63.53,Clayey,10,0,38
Wheat,28.76,54.72,37.74,Red,14,1,16
Ground Nuts,26.27,49.13,21.16,Sandy,10,18,12
Paddy,31.58,66.26,59.62,Sandy,38,0,1
Tobacco,25.22,60.2,52.04,Clayey,37,1,0
Paddy,33.11,71.83,57.15,Loamy,8,19,20
Tobacco,29.94,62.39,35.14,Red,10,0,6
Wheat,25.72,60.71,43.46,Clayey,27,2,20
Maize,29.16,50.01,56.58,Clayey,12,11,30
Paddy,40.0,74.03,39.34,Loamy,8,0,17
Pulses,27.65,55.35,34.36,Black,37,3,0
Tobacco,29.72,71.91,52.5,Red,4,4,28
Wheat,28.03,53.76,60.86,Sandy,13,0,10
Maize,29.86,59.28,62.62,Sandy,25,0,19
Oil seeds,32.86,62.77,31.22,Red,38,1,0
Barley,23.9,44.45,32.53,Red,15,4,39
Wheat,30.2,57.56,52.01,Loamy,27,0,19
Oil seeds,26.86,61.34,45.62,Black,18,3,17
Maize,21.51,55.9,45.54,Clayey,22,3,22
Millets,28.78,66.87,49.42,Clayey,10,0,40
Pulses,29.54,54.73,69.41,Loamy,32,0,0
Oil seeds,35.77,58.62,25.35,Sandy,26,1,17
Ground Nuts,30.85,67.85,27.32,Loamy,33,3,0
Oil seeds,35.66,68.89,32.88,Red,11,0,42
Paddy,30.37,61.22,43.8,Loamy,3,18,17
Oil seeds,26.62,66.89,62.01,Red,16,3,9
Ground Nuts,33.88,72.42,32.65,Black,13,0,36
Sugarcane,40.0,79.99,35.61,Loamy,7,0,38
Sugarcane,33.2,53.06,64.27,Sandy,12,8,33
Millets,27.05,50.17,43.61,Loamy,34,0,0
Barley,25.34,51.56,38.67,Clayey,37,2,0
Cotton,34.03,61.12,35.57,Clayey,8,1,40
Tobacco,27.22,58.67,43.43,Red,20,0,18
Millets,24.41,53.52,66.7,Black,42,3,1
Maize,30.88,56.44,68.29,Sandy,12,0,10
Ground Nuts,26.62,58.03,23.34,Sandy,13,0,37
Wheat,30.9,68.66,34.94,Clayey,8,0,18
Sugarcane,32.61,63.84,45.4,Black,21,2,14
Paddy,25.11,49.18,41.82,Red,36,0,0
Sugarcane,31.05,52.85,37.01,Clayey,15,2,38
Sugarcane,29.6,70.57,54.2,Black,21,4,21
Oil seeds,23.25,48.93,24.15,Black,39,0,0
Ground Nuts,27.69,55.28,34.84,Clayey,35,1,0
Tobacco,23.33,59.29,45.53,Loamy,25,3,16
Millets,39.91,76.62,45.94,Red,40,0,0
Wheat,27.11,66.09,67.85,Black,10,8,26
Pulses,27.18,59.42,53.2,Clayey,12,11,26
Barley,30.72,62.41,35.53,Sandy,34,0,0
Sugarcane,24.51,46.17,65.49,Sandy,42,2,0
Millets,35.48,55.43,28.66,Red,17,2,19
Tobacco,33.63,71.51,43.87,Loamy,16,0,26
Paddy,35.39,65.38,54.92,Sandy,17,0,40
Millets,26.3,62.73,20.0,Black,10,4,43
Pulses,25.98,51.85,70.0,Black,38,1,0
Barley,28.26,50.41,34.56,Clayey,12,9,23
Oil seeds,35.36,69.36,54.93,Red,16,4,40
Maize,37.61,60.54,64.55,Loamy,22,2,20
Paddy,30.21,59.88,47.25,Loamy,33,0,0
Pulses,35.04,69.99,33.2,Black,34,2,2
Oil seeds,30.78,66.91,63.26,Loamy,4,8,25
Millets,30.9,52.93,43.05,Red,12,0,9
Ground Nuts,38.8,74.45,38.5,Red,11,0,39
Millets,29.07,73.52,52.71,Loamy,39,0,0
Sugarcane,29.8,52.93,39.95,Black,18,2,19
Sugarcane,33.53,68.45,31.56,Red,39,0,1
Wheat,35.43,73.21,53.28,Loamy,42,4,0
Cotton,21.05,45.03,70.0,Red,31,4,0
Cotton,27.48,47.09,27.89,Black,39,2,4
Sugarcane,29.54,60.61,54.07,Loamy,12,11,34
Wheat,38.11,69.4,54.47,Black,23,0,23
Oil seeds,28.55,50.92,36.81,Sandy,24,4,22
Pulses,35.38,55.86,42.48,Sandy,12,8,11
Tobacco,34.35,56.75,61.79,Black,12,14,11
Tobacco,27.07,54.74,36.04,Red,5,2,16
Pulses,40.0,75.03,42.43,Black,9,3,29
Millets,26.28,48.37,65.31,Black,13,17,11
Sugarcane,36.48,63.87,20.37,Sandy,34,0,0
Millets,36.73,56.57,49.51,Red,11,2,11
Tobacco,36.22,63.83,37.08,Red,11,1,41
Sugarcane,32.23,54.15,54.33,Red,20,0,19
Cotton,40.0,74.84,47.75,Sandy,35,1,0
Ground Nuts,32.17,63.37,31.63,Red,37,0,0
Barley,29.44,50.92,34.24,Loamy,36,0,0
Paddy,25.42,52.97,21.71,Red,10,3,14
Sugarcane,29.19,61.81,48.68,Clayey,7,1,8
Maize,27.44,54.73,62.9,Clayey,8,2,5
Millets,25.08,66.46,20.54,Clayey,9,3,41
Sugarcane,32.32,58.02,68.23,Sandy,13,0,34
Sugarcane,28.86,61.44,55.03,Clayey,12,14,18
Ground Nuts,36.97,72.6,43.87,Sandy,39,0,0
Cotton,29.5,69.16,41.62,Loamy,24,1,26
Cotton,31.36,52.48,65.81,Loamy,7,10,30
Tobacco,22.06,56.16,61.45,Red,11,0,16
Millets,33.36,62.22,24.56,Sandy,8,2,39
Millets,28.16,53.4,40.78,Sandy,13,0,17
Wheat,36.49,75.76,26.28,Black,13,0,41
Oil seeds,37.5,64.03,58.94,Loamy,12,0,8
Tobacco,37.31,66.86,70.0,Red,14,3,38
Maize,25.35,50.13,25.76,Red,5,8,26
Maize,28.71,64.1,44.78,Loamy,8,0,11
Cotton,31.77,65.53,40.43,Black,13,14,16
Millets,30.79,63.59,37.55,Clayey,19,0,25
Ground Nuts,26.02,48.46,37.47,Loamy,38,2,3
Cotton,29.34,72.39,39.94,Red,24,2,16
Millets,36.2,58.84,44.43,Clayey,6,0,36
Sugarcane,35.97,56.08,39.97,Black,24,0,28
Oil seeds,21.93,47.19,41.85,Loamy,20,0,23
Ground Nuts,36.44,69.49,70.0,Loamy,12,2,40
Oil seeds,28.5,65.5,63.01,Loamy,14,0,36
Sugarcane,28.75,45.15,32.3,Clayey,4,14,15
Paddy,31.11,63.86,68.38,Loamy,12,1,42
Sugarcane,26.43,45.04,30.14,Black,10,2,43
Wheat,29.0,73.39,38.46,Clayey,35,0,0
Paddy,37.55,62.6,24.11,Sandy,10,0,37
Barley,26.18,47.19,39.82,Loamy,33,0,0
Paddy,33.14,68.2,49.7,Clayey,11,12,26
Cotton,27.37,46.45,46.45,Clayey,6,14,10
Pulses,30.82,56.86,48.67,Black,1,4,24
Ground Nuts,31.92,67.01,48.12,Red,43,3,0
Sugarcane,33.98,51.19,32.23,Red,13,5,30
Tobacco,30.01,57.83,61.88,Red,31,0,0
Ground Nuts,28.65,49.45,27.65,Loamy,6,6,32
Pulses,23.43,46.91,62.82,Red,35,0,4
Maize,35.77,60.14,36.61,Black,8,15,19
Paddy,38.55,58.08,53.88,Loamy,15,14,16
Millets,26.71,42.66,48.03,Black,7,0,32
Tobacco,31.59,69.57,52.01,Black,13,4,37
Oil seeds,29.49,67.11,63.28,Black,9,15,11
Barley,32.29,56.56,63.14,Loamy,26,2,18
Oil seeds,25.89,52.78,32.13,Loamy,9,10,30
Pulses,22.39,59.45,42.31,Red,27,2,18
Ground Nuts,24.48,64.32,40.94,Clayey,11,0,12
Barley,30.09,52.45,34.93,Black,40,0,0
Maize,30.67,44.15,46.13,Loamy,21,0,24
Tobacco,29.46,64.44,26.19,Clayey,7,7,29
Cotton,34.69,71.9,21.7,Loamy,3,9,30
Paddy,24.97,59.67,27.05,Red,9,11,34
Cotton,24.87,56.1,31.14,Sandy,40,0,1
Paddy,33.86,62.68,37.06,Loamy,7,4,43
Millets,33.35,53.25,64.49,Sandy,10,5,24
Sugarcane,27.73,53.14,25.75,Clayey,5,10,32
Paddy,37.09,56.19,40.03,Loamy,25,0,22
Ground Nuts,26.19,61.82,26.83,Sandy,38,1,1
Millets,24.93,67.58,47.18,Red,15,0,37
Wheat,33.39,71.79,31.6,Black,11,2,39
Maize,32.93,56.53,28.8,Clayey,11,8,27
Oil seeds,28.87,42.05,50.69,Clayey,13,0,4
Paddy,36.94,53.17,24.98,Sandy,20,3,27
Cotton,26.55,70.7,64.77,Loamy,6,10,11
Oil seeds,26.48,49.62,32.7,Sandy,18,9,14
Ground Nuts,35.14,69.23,39.79,Sandy,36,2,0
Wheat,30.29,55.55,44.77,Red,18,0,10
Wheat,21.54,43.75,56.74,Clayey,7,0,7
Paddy,26.69,61.8,55.35,Sandy,17,0,20
Maize,37.94,60.1,56.48,Loamy,8,7,25
Tobacco,20.53,53.88,68.8,Red,10,3,10
Barley,30.62,46.34,61.19,Black,5,4,14
Sugarcane,24.14,45.84,44.84,Black,7,22,14
Wheat,21.95,59.83,69.07,Sandy,38,0,0
Tobacco,34.26,69.87,24.2,Red,20,0,19
Wheat,24.98,67.9,70.0,Loamy,14,0,38
Sugarcane,23.0,55.77,37.58,Clayey,25,0,20
Cotton,30.49,59.19,51.04,Red,11,16,15
Millets,31.65,69.41,33.59,Sandy,6,0,34
Paddy,30.68,61.61,38.4,Loamy,36,0,3
Pulses,22.27,53.67,28.01,Black,16,0,13
Paddy,30.65,59.18,52.5,Clayey,16,3,10
Oil seeds,27.86,59.92,36.56,Loamy,14,0,40
Wheat,31.58,55.46,70.0,Red,28,0,20
Maize,26.73,56.88,29.16,Red,6,16,21
Barley,27.32,69.77,41.0,Loamy,8,0,6
Paddy,31.49,69.94,50.94,Black,36,0,2
Wheat,39.76,50.39,44.02,Red,11,1,38
Maize,28.09,68.54,27.88,Red,11,5,32
Pulses,33.22,67.49,46.8,Clayey,9,10,29
Maize,33.09,77.6,43.37,Clayey,35,0,2
Millets,27.89,49.02,36.06,Black,11,10,13
Sugarcane,31.17,69.37,43.42,Sandy,20,4,26
Ground Nuts,31.53,56.66,34.79,Clayey,6,0,9
Ground Nuts,36.4,62.17,27.49,Loamy,6,4,34
Pulses,35.25,53.22,40.74,Sandy,13,4,40
Sugarcane,29.6,51.91,43.03,Sandy,36,0,0
Sugarcane,31.32,65.36,47.86,Black,6,7,25
Barley,32.98,67.67,45.92,Loamy,25,3,21
Barley,28.48,49.43,44.67,Sandy,3,0,14
Oil seeds,38.56,74.3,55.08,Black,13,0,39
Wheat,28.02,48.84,51.42,Sandy,8,3,29
Paddy,37.73,70.55,52.64,Black,7,21,24
Wheat,27.7,62.14,37.45,Sandy,21,0,19
Pulses,28.26,59.17,33.07,Red,35,0,0
Sugarcane,23.32,60.72,41.52,Loamy,21,0,23
Millets,23.39,59.59,32.49,Red,17,0,21
